,,, Amount ,,,,,,Date,,,,
BookingSync,http://www.crunchbase.com/company/bookingsync,,,,,,,,,,,,
Bookt,http://www.crunchbase.com/company/bookt,,,,,,,,,,,,
Boom Engine,http://www.crunchbase.com/company/boom-engine,,,,,,,,,,,,
BoomerangData,http://www.crunchbase.com/company/boomerangdata,,,,,,,,,,,,
Boomi,http://www.crunchbase.com/company/boomi,,,,,,,,,,,,
Box,http://www.crunchbase.com/company/box,,,,,,,,,,,,
Bplats,http://www.crunchbase.com/company/bplats,,,,,,,,,,,,
Brand Regard,http://www.crunchbase.com/company/brand-regard,,,,,,,,,,,,
Breaking Wave Software,http://www.crunchbase.com/company/breaking-wave-software,,,,,,,,,,,,
Brennan IT,http://www.crunchbase.com/company/brennan-it,,,,,,,,,,,,
BrewCharts,http://www.crunchbase.com/company/brewcharts,,,,,,,,,,,,
BrickSimple,http://www.crunchbase.com/company/brick-simple,,,,,,,,,,,,
Bright Computing,http://www.crunchbase.com/company/bright-computing,,,,,,,,,,,,
Brightbox,http://www.crunchbase.com/company/brightbox,,,,,,,,,,,,
BubbleHub,http://www.crunchbase.com/company/bubblehub,,,,,,,,,,,,
BugPub,http://www.crunchbase.com/company/bugpub,,,,,,,,,,,,
Buildor,http://www.crunchbase.com/company/buildor,,,,,,,,,,,,
Burning Sky Software,http://www.crunchbase.com/company/burning-sky-software,,,,,,,,,,,,
Bushido,http://www.crunchbase.com/company/bushido,,,,,,,,,,,,
BusyEvent,http://www.crunchbase.com/company/busyevent,,,,,,,,,,,,
Buytech,http://www.crunchbase.com/company/buytech,,,,,,,,,,,,
CDN77.com,http://www.crunchbase.com/company/cdn77-com,,,,,,,,,,,,
CITYTECH,http://www.crunchbase.com/company/citytech,,,,,,,,,,,,
CMS Expo,http://www.crunchbase.com/company/cms-expo,,,,,,,,,,,,
CPHSE,http://www.crunchbase.com/company/cphse,,,,,,,,,,,,
CPUsage,http://www.crunchbase.com/company/cpusage,,,,,,,,,,,,
CQCloud,http://www.crunchbase.com/company/cqcloud,,,,,,,,,,,,
CTERA Networks,http://www.crunchbase.com/company/ctera-networks,,,,,,,,,,,,
CTX Solutions,http://www.crunchbase.com/company/ctx-solutions,,,,,,,,,,,,
CY.TALK GROUP,http://www.crunchbase.com/company/cy-talk-group,,,,,,,,,,,,
Cachengo,http://www.crunchbase.com/company/cachengo,,,,,,,,,,,,
Calder Global Networks,http://www.crunchbase.com/company/calder-global-networks,,,,,,,,,,,,
CallFire,http://www.crunchbase.com/company/callfire-2,,,,,,,,,,,,
Calleoo,http://www.crunchbase.com/company/calleoo,,,,,,,,,,,,
Callision,http://www.crunchbase.com/company/callision,,,,,,,,,,,,
Calm Response,http://www.crunchbase.com/company/calm-response,,,,,,,,,,,,
Calsoft Inc.,http://www.crunchbase.com/company/calsoft-inc,,,,,,,,,,,,
Carbon Five,http://www.crunchbase.com/company/carbon-five,,,,,,,,,,,,
Carbon Mountain,http://www.crunchbase.com/company/carbon-mountain,,,,,,,,,,,,
Carp Data Service,http://www.crunchbase.com/company/carp-data-service,,,,,,,,,,,,
Carpathia Hosting,http://www.crunchbase.com/company/carpathia-hosting,,,,,,,,,,,,
Cartavi,http://www.crunchbase.com/company/cartavi-llc,,,,,,,,,,,,
Cartwheel,http://www.crunchbase.com/company/cartwheel,,,,,,,,,,,,
CaseCentral,http://www.crunchbase.com/company/casecentral,,,,,,,,,,,,
Casengo,http://www.crunchbase.com/company/casengo,,,,,,,,,,,,
Caspio,http://www.crunchbase.com/company/caspio,,,,,,,,,,,,
Catalogik,http://www.crunchbase.com/company/catalogik,,,,,,,,,,,,
Cattlesoft,http://www.crunchbase.com/company/cattlesoft,,,,,,,,,,,,
Cazoomi,http://www.crunchbase.com/company/cazoomi,,,,,,,,,,,,
Cedexis,http://www.crunchbase.com/company/cedexis,,,,,,,,,,,,
CensorNet,http://www.crunchbase.com/company/censornet,,,,,,,,,,,,
Centered Networks,http://www.crunchbase.com/company/centered-networks,,,,,,,,,,,,
Centric ECM,http://www.crunchbase.com/company/centric-ecm,,,,,,,,,,,,
Centrilogic,http://www.crunchbase.com/company/centrilogic,,,,,,,,,,,,
Centrix Software,http://www.crunchbase.com/company/centrix-software,,,,,,,,,,,,
CertiVox,http://www.crunchbase.com/company/certivox,,,,,,,,,,,,
Checkfront,http://www.crunchbase.com/company/checkfront,,,,,,,,,,,,
China CloudTrust,http://www.crunchbase.com/company/china-cloudtrust,,,,,,,,,,,,
ChinaNetCloud,http://www.crunchbase.com/company/chinanetcloud,,,,,,,,,,,,
Chronotek,http://www.crunchbase.com/company/chronotek,,,,,,,,,,,,
Chute,http://www.crunchbase.com/company/chute,,,,,,,,,,,,
Ci&T,http://www.crunchbase.com/company/ci-t,,,,,,,,,,,,
Cinode,http://www.crunchbase.com/company/cinode,,,,,,,,,,,,
CipherCloud,http://www.crunchbase.com/company/ciphercloud,,,,,,,,,,,,
CipherDocs,http://www.crunchbase.com/company/cipherdocs,,,,,,,,,,,,
CipherGraph Networks,http://www.crunchbase.com/company/ciphergraph-networks,,,,,,,,,,,,
CircleDoc,http://www.crunchbase.com/company/circledoc,,,,,,,,,,,,
Cirrhus9,http://www.crunchbase.com/company/cirrhus9,,,,,,,,,,,,
Claritics,http://www.crunchbase.com/company/claritics,,,,,,,,,,,,
Clarizen,http://www.crunchbase.com/company/clarizen,,,,,,,,,,,,
